time,close,high,low,open,volumefrom,volumeto
1480723200,1.06,1.07,1.05,1.06,80542.29,85234.35
1480809600,1.05,1.06,1.05,1.06,149831.95,158071.89
1480896000,1.06,1.06,1.04,1.05,98239.23,103148.13
1480982400,1.06,1.07,1.05,1.06,101203.9,107120.52
1481068800,1.05,1.06,1.04,1.06,33405.45,34967.02
1481155200,1.05,1.07,1.05,1.05,66653.49,70357.69
1481241600,1.05,1.06,1.04,1.05,45881.96,47962.13
1481328000,1.05,1.06,1.05,1.05,2483.74,2614.92
1481414400,1.05,1.05,1.04,1.05,3074.83,3205.57
1481500800,1.05,1.05,1.04,1.05,64268.83,66944.05
1481587200,1.05,1.06,1.04,1.05,25622.65,26947.05
1481673600,1.06,1.07,1.05,1.05,45756.64,48448.74
1481760000,1.04,1.06,1.04,1.06,53053.95,55521.58
1481846400,1.04,1.05,1.04,1.04,46318.31,48139.48
1481932800,1.04,1.05,1.04,1.04,25291.53,26365.89
1482019200,1.04,1.04,1.04,1.04,25256.57,26239.81
1482105600,1.03,1.05,1.03,1.04,51706.24,53613.86
1482192000,1.03,1.04,1.02,1.03,41899.62,42929.24
1482278400,1.03,1.04,1.01,1.03,22597.45,23138.01
1482364800,1.03,1.04,1.01,1.03,46064.16,47092.52
1482451200,1.02,1.04,1.02,1.03,35271.06,36209.05
1482537600,1.03,1.04,1.02,1.02,27191.98,27850.48
1482624000,1.03,1.04,1.02,1.03,24654.11,25404.76
1482710400,1.03,1.05,1.02,1.03,18871.79,19495.88
1482796800,1.03,1.04,1.02,1.03,26372.46,27017.04
1482883200,1.03,1.05,1.02,1.03,122906.66,126558.31
1482969600,1.04,1.04,1.03,1.03,12174.46,12600.7
1483056000,1.04,1.05,1.03,1.04,15780.14,16495.57
1483142400,1.05,1.05,1.03,1.04,4377.57,4523.91
1483228800,1.05,1.05,1.04,1.05,22537.43,23609.92
1483315200,1.04,1.05,1.02,1.05,58485.84,60517.4
1483401600,1.03,1.05,1.03,1.04,44704.22,46175.52
1483488000,1.04,1.04,1.02,1.03,196043.44,201342.23
1483574400,1.04,1.06,1.01,1.04,255575.98,262063.27
1483660800,1.04,1.05,1.02,1.04,89016.55,92317.43
1483747200,1.03,1.04,1.02,1.04,38622.64,39789.36
1483833600,1.04,1.05,1.03,1.03,45889.74,47913.35
1483920000,1.04,1.05,1.03,1.04,19239.71,19891.94
1484006400,1.03,1.04,1.03,1.04,28683.21,29529.63
1484092800,1.03,1.04,1.01,1.03,199024.57,204062.24
1484179200,1.03,1.05,1.01,1.03,210783.97,216050.95
1484265600,1.05,1.06,1.04,1.03,159706.96,167468.73
1484352000,1.05,1.05,1.04,1.05,43414.4,45360.08
1484438400,1.03,1.04,1.03,1.05,18715.71,19410.62
1484524800,1.04,1.05,1.04,1.03,34996.14,36570.17
1484611200,1.04,1.06,1.03,1.04,151687.54,159166.39
1484697600,1.05,1.06,1.03,1.04,195692.21,204607.48
1484784000,1.05,1.06,1.04,1.05,74644.55,78447.93
1484870400,1.04,1.05,1.03,1.05,58673.63,61081.71
1484956800,1.06,1.06,1.05,1.04,31527.68,33371.01
1485043200,1.05,1.07,1.03,1.06,89806.88,94037.42
1485129600,1.05,1.06,1.04,1.05,79354.91,83227.91
1485216000,1.05,1.06,1.04,1.05,205553.52,215380.69
1485302400,1.05,1.06,1.04,1.05,69542.79,73043.08
1485388800,1.05,1.06,1.05,1.05,21426.41,22660.23
1485475200,1.04,1.05,1.04,1.05,27496.27,28807.92
1485561600,1.04,1.05,1.04,1.04,17768.32,18452.65
1485648000,1.05,1.06,1.05,1.04,4815.47,5108.73
1485734400,1.06,1.07,1.06,1.05,17616.43,18696.54
1485820800,1.06,1.07,1.05,1.06,66361,70338.94
1485907200,1.08,1.1,1.07,1.06,199665.98,214670.96
1485993600,1.07,1.08,1.07,1.08,131269.49,141281.29
1486080000,1.08,1.08,1.07,1.07,124422.3,133622.58
1486166400,1.05,1.06,1.05,1.08,10208.76,10741
1486252800,1.06,1.07,1.06,1.05,24485.53,26078.23
1486339200,1.07,1.07,1.07,1.06,43728.76,46718.53
1486425600,1.06,1.07,1.06,1.07,105581.5,112759.06
1486512000,1.06,1.07,1.05,1.06,149619.88,158280.72
1486598400,1.05,1.07,1.05,1.06,346286.4,366411.11
1486684800,1.06,1.07,1.06,1.05,187601.28,198576.67
1486771200,1.05,1.06,1.05,1.06,8204.14,8646.77
1486857600,1.06,1.06,1.06,1.05,47458.28,50237.49
1486944000,1.05,1.06,1.05,1.06,123716.3,130373.14
1487030400,1.05,1.07,1.05,1.05,102354.13,107987.99
1487116800,1.05,1.05,1.02,1.05,74610.16,77689.92
1487203200,1.06,1.06,1.04,1.05,30017.75,31534.82
1487289600,1.05,1.05,1.04,1.06,149947.7,156201.01
1487376000,1.04,1.05,1.03,1.05,35332.45,36756.54
1487462400,1.05,1.05,1.03,1.04,26437.6,27643.62
1487548800,1.05,1.06,1.04,1.05,32128.31,33653.4
1487635200,1.05,1.06,1.04,1.05,97914.87,102910.59
1487721600,1.05,1.06,1.05,1.05,44575.4,46894.89
1487808000,1.05,1.07,1.05,1.05,48599.02,51297.39
1487894400,1.07,1.08,1.04,1.05,204673.83,215539.11
1487980800,1.06,1.07,1.05,1.07,121575.38,128657.05
1488067200,1.06,1.07,1.05,1.06,27537.57,29281.61
1488153600,1.05,1.07,1.05,1.06,18069.84,19250.55
1488240000,1.06,1.07,1.05,1.05,81202.54,86024.17
1488326400,1.05,1.07,1.05,1.06,101383.05,107297.47
1488412800,1.05,1.07,1.05,1.05,202428.57,213074.66
